,Index,membership_la,user_id,user_language,top_topic,topic_prob
393,156324,24,7.30063E+17,English,1,0.425292813
394,156394,33,206442044,English,0,0.915435973
395,156472,11,1866508746,English,0,0.892330209
396,156597,24,37253787,English,0,0.969354838
397,156820,17,2265253158,English,3,0.717804486
398,157331,22,33749459,English,3,0.66613421
399,157413,22,1122862622,English,2,0.31241896
400,159198,33,619586953,English,2,0.506251565
401,159244,22,1654317709,English,1,0.658783604
402,159499,18,85767315,English,0,0.579865762
403,160039,24,18655130,English,5,0.809999996
404,160208,32,2744657169,English,1,0.443543896
405,160336,24,3198260774,English,1,0.454899025
406,161060,17,38122735,English,1,0.758841352
407,161281,28,3127198161,English,0,0.97625
408,161631,29,68592721,English,0,0.986805555
409,161683,29,965202734,English,1,0.940624998
410,161767,24,14182926,English,8,0.683333323
411,161873,24,111407819,English,2,0.817418315
412,162245,29,1326060458,English,1,0.637838635
413,162893,22,261132795,English,0,0.683333325
414,163015,33,783569773,English,0,0.97121212
415,163109,17,2857604299,English,0,0.683333333
416,163198,22,7.67111E+17,English,0,0.878961196
417,163669,28,450955272,English,0,0.932142855
418,164190,22,3221933162,English,3,0.832134364
419,164607,22,3311904649,English,0,0.947222221
420,165170,32,2895402409,English,0,0.525
421,165318,24,188575488,English,3,0.698005347
422,165555,17,2495299218,English,1,0.532545333
423,165562,11,22459478,English,0,0.982727272
424,165779,22,4399265543,English,1,0.39262382
425,165792,29,739362570,English,0,0.586076728
426,166432,20,4394314693,English,0,0.534393203
427,167648,29,191211337,English,1,0.594955181
428,167724,22,354010438,English,1,0.689477212
429,168936,8,7.65023E+17,English,0,0.525
430,168991,32,2652411176,English,0,0.864285711
431,169412,18,211712786,English,0,0.961999999
432,169633,22,3406286535,English,2,0.38543685
433,169670,18,132661316,English,0,0.934825869
434,169884,29,1844541,English,0,0.819105296
435,169889,33,1537884506,English,0,0.375447157
436,170445,22,4746681895,English,0,0.576439249
437,170495,17,2326552986,English,0,0.975641025
438,171080,32,2257004119,English,1,0.63990113
439,171264,18,1474499376,English,2,0.592582402
440,171326,22,21156136,English,0,0.670960807
441,171346,22,1537979221,English,5,0.575452614
442,172822,24,2733796205,English,0,0.766322902
443,174432,22,2664638198,English,0,0.988271605
444,174445,22,7.72306E+17,English,0,0.944117646
445,174539,22,947007140,English,1,0.344141426
446,175284,20,712813136,English,0,0.904999998
447,175357,20,2295479487,English,8,0.809999996
448,175397,8,2918013960,English,0,0.788565051
449,175440,18,1471348975,English,0,0.86428571
450,175455,28,41304326,English,0,0.932500814
451,175968,22,2150233106,English,0,0.539560785
452,176106,33,4363365434,English,8,0.683333329
453,176501,20,745051488,English,1,0.493893497
454,176604,18,772794626,English,0,0.947222219
455,176739,11,7.23892E+17,English,1,0.736130867
456,177275,33,2506335457,English,0,0.966045857
457,177421,24,3163911286,English,0,0.960416666
