"","Index","membership_ch","user_id","user_language","top_topic","topic_prob"
"280",120149,20,1025681288,"English",1,0.719064802
"281",121071,31,41130016,"English",1,0.558367304
"282",121691,27,563488961,"English",2,0.500204887
"283",122415,16,1122093816,"English",0,0.05
"284",122538,33,153907584,"English",0,0.881249998
"285",122653,34,258471759,"English",0,0.947222221
"286",123649,20,2639113509,"English",11,0.683333323
"287",123960,29,211318361,"English",0,0.974999999
"288",124309,32,1321308306,"English",3,0.623898061
"289",124361,29,7.58522e+17,"English",0,0.739387449
"290",125217,33,2336643728,"English",0,0.683333328
"291",125897,31,178182219,"English",4,0.683333328
"292",126456,29,84661833,"English",0,0.809999999
"293",127278,23,2417613434,"English",2,0.377583284
"294",127851,34,7.20464e+17,"English",0,0.894444443
"295",128240,25,330424651,"English",0,0.881249997
"296",128328,29,37954647,"English",2,0.593198378
"297",128431,31,373550705,"English",6,0.762499997
"298",129814,23,4049107641,"English",0,0.510233663
"299",130238,33,1167565298,"English",0,0.932142856
"300",130701,20,4699682965,"English",0,0.841666662
"301",130910,34,433418353,"English",0,0.952499999
"302",130946,20,557062999,"English",14,0.455662133
"303",131231,26,179229966,"English",0,0.5710654
"304",131699,27,2558097887,"English",0,0.86428571
"305",131822,5,3091643046,"English",0,0.05
"306",132606,34,443825477,"English",9,0.762499984
"307",132931,26,1158893659,"English",11,0.683333328
"308",133158,25,840163890,"English",0,0.904999999
"309",133214,36,2840629370,"English",14,0.525387001
"310",133434,26,193293570,"English",0,0.864285706
"311",133869,20,2948322267,"English",1,0.89604756
"312",134267,34,386746482,"English",0,0.98560606
"313",134403,20,3261124340,"English",0,0.86428571
"314",134643,31,87881619,"English",0,0.518966913
"315",134654,23,76414976,"English",3,0.809999996
"316",134735,34,538708200,"English",1,0.489113737
"317",135095,27,376052106,"English",4,0.683333328
"318",135354,26,31205045,"English",0,0.642562993
"319",135956,23,2175978900,"English",0,0.612487408
"320",136069,31,11092692,"English",0,0.563958294
"321",136315,31,89108075,"English",2,0.762499995
"322",136693,26,422027824,"English",0,0.932142856
"323",137111,27,3178906820,"English",1,0.662491416
"324",137604,25,879030595,"English",0,0.936666666
"325",138106,22,102848879,"English",0,0.920833331
"326",138210,34,41662952,"English",19,0.524999988
"327",138631,33,48559440,"English",0,0.841666664
"328",138721,26,584100187,"English",16,0.762499995
"329",139252,29,1218241640,"English",5,0.524999993
"330",139937,34,916046239,"English",0,0.504873796
"331",140328,33,15199974,"English",1,0.853042713
"332",141018,33,591022172,"English",2,0.357703159
"333",141593,22,2213260104,"English",12,0.762499995
"334",141963,14,1559047500,"English",0,0.05
"335",143157,11,314576666,"English",0,0.05
"336",143180,22,1608940993,"English",0,0.727666256
"337",143516,23,179668042,"English",13,0.524999995
"338",143649,22,52466488,"English",2,0.54132538
"339",143665,25,613974374,"English",0,0.837223248
"340",143829,17,7.71831e+17,"English",0,0.05
"341",144282,34,295945461,"English",5,0.524999996
"342",144694,23,30416389,"English",0,0.602821044
"343",145834,25,2225626542,"English",1,0.602569657
"344",145895,34,522786458,"English",0,0.881249998
"345",146404,4,1166733618,"English",0,0.05
"346",146513,27,265756228,"English",1,0.739893146
"347",146748,34,7.45383e+17,"English",0,0.926923076
"348",146978,27,3118593761,"English",18,0.524999997
"349",147203,29,701924095,"English",14,0.524999999
"350",147393,20,1357850959,"English",11,0.683333328
"351",148269,31,831972385,"English",15,0.809999996
"352",148291,12,2868305253,"English",0,0.05
"353",148308,27,57352281,"English",0,0.767716761
"354",149235,34,82522548,"English",0,0.864285705
"355",149254,36,2838969009,"English",14,0.809999995
"356",149742,34,2318176398,"English",0,0.998945563
"357",151145,34,308085514,"English",1,0.809999997
"358",151969,18,1917701540,"English",0,0.05
"359",152129,29,2513732622,"English",1,0.683333327
"360",152644,29,1676630552,"English",1,0.383901132
"361",152896,22,379035138,"English",1,0.762499997
"362",153556,31,8.0058e+17,"English",0,0.888996441
"363",153932,36,2497715131,"English",17,0.525
"364",154328,1,629760423,"English",0,0.05
"365",154426,31,321192066,"English",1,0.648022037
"366",154641,31,33389780,"English",11,0.683333328
"367",154675,20,1477807597,"English",0,0.864285713
"368",155404,23,39433851,"English",0,0.434395126
"369",155438,23,245521565,"English",0,0.864285712
"370",157046,27,258033062,"English",4,0.683333333
"371",157523,34,850341738,"English",0,0.738344015
"372",157913,22,1551910123,"English",0,0.881249998
"373",158101,23,1483770649,"English",0,0.57013521
"374",158552,34,15682105,"English",0,0.591093635
"375",158595,34,578127499,"English",0,0.864285709
"376",159587,19,113751129,"English",0,0.05
"377",159872,25,1442562464,"English",3,0.683333327
"378",159918,33,71794228,"English",12,0.524999996
"379",160407,25,117592341,"English",0,0.841666663
"380",160743,31,1579252946,"English",0,0.926923076
"381",161656,23,23445036,"English",1,0.615015501
"382",162344,31,286497336,"English",7,0.683333326
"383",162901,9,8.00543e+17,"English",12,0.525
"384",164082,22,278332852,"English",0,0.926923075
"385",164608,31,204814224,"English",1,0.495932652
"386",164712,26,409496138,"English",12,0.68333332
"387",164782,34,2197069514,"English",0,0.74529892
"388",165231,20,590428617,"English",12,0.683333315
"389",165507,34,912891554,"English",7,0.683333327
"390",166261,34,987834475,"English",2,0.424795961
"391",166832,34,43532350,"English",1,0.494164536
"392",167208,26,34331724,"English",0,0.979347826
"393",168624,34,199148961,"English",0,0.497170765
"394",168938,35,2951428738,"English",2,0.525
"395",169027,33,2983321620,"English",1,0.401804581
"396",169222,26,1137583704,"English",0,0.545716184
"397",169555,25,3605941884,"English",1,0.609200323
"398",169852,25,3044183830,"English",0,0.982727272
"399",169974,25,172767207,"English",0,0.926923076
"400",170272,34,368057971,"English",2,0.382159811
"401",170883,31,113749506,"English",2,0.578322027
"402",171895,25,19290768,"English",1,0.58491268
"403",171902,33,1074139603,"English",2,0.61367272
"404",171913,25,40397391,"English",0,0.985606061
"405",172022,33,44917585,"English",0,0.944117646
"406",172588,29,61001652,"English",1,0.634380098
"407",174368,36,1281779070,"English",5,0.683333327
"408",174906,23,16649686,"English",0,0.514914483
"409",174967,31,147767972,"English",0,0.841666664
"410",177969,22,245489257,"English",0,0.620219242
"411",178845,34,7.81794e+17,"English",1,0.762499995
"412",178879,20,115496500,"English",9,0.809999997
"413",179054,22,1863267241,"English",9,0.683333328
"414",179112,13,42902729,"English",0,0.05
"415",180286,34,64970266,"English",1,0.719502877
"416",180951,15,267553927,"English",0,0.05
"417",182968,26,1408795724,"English",2,0.430874357
"418",183918,23,135955827,"English",1,0.34238878
"419",184227,22,409387426,"English",0,0.954761904
"420",184240,31,32697675,"English",1,0.761064058
"421",185669,22,25191013,"English",2,0.509581212
"422",185761,31,844058341,"English",1,0.57176237
"423",186056,22,15171911,"English",0,0.881249998
"424",186317,32,519851419,"English",12,0.665387774
"425",186326,26,363701075,"English",4,0.683333318
"426",187147,23,220430805,"English",1,0.520752687
"427",187272,22,1723557504,"English",2,0.524999994
"428",187703,33,346888474,"English",9,0.809999999
"429",188267,34,279579987,"English",1,0.667115032
"430",188329,33,2440839524,"English",6,0.683333327
"431",188639,27,1934747227,"English",16,0.683333333
"432",188858,25,7.26185e+17,"English",0,0.576212106
"433",189061,31,154556606,"English",0,0.425472582
"434",189136,27,253059558,"English",16,0.525
"435",189159,36,31299409,"English",0,0.967241378
"436",189529,29,500125788,"English",0,0.524999997
"437",189842,26,1621744028,"English",0,0.881249997
"438",191207,26,227879050,"English",0,0.84166666
"439",191334,35,195436477,"English",0,0.736609983
"440",192036,31,236525922,"English",0,0.388854811
"441",192264,33,608375529,"English",0,0.626684695
"442",192868,20,939783259,"English",0,0.881249997
"443",193025,23,600218041,"English",0,0.841666661
"444",193408,34,334295841,"English",0,0.683333331
"445",193487,27,107497796,"English",0,0.514995456
"446",194325,31,34001454,"English",10,0.683333327
"447",195122,22,315179573,"English",0,0.904999997
"448",195674,31,43912895,"English",0,0.704144694
"449",197343,27,15146389,"English",0,0.537567739
"450",197590,23,2519118614,"English",16,0.524999995
"451",197736,27,16422438,"English",0,0.913636359
"452",198022,33,501481182,"English",13,0.809999996
"453",199091,33,214749676,"English",16,0.683333328
"454",199704,27,111466841,"English",0,0.517325437
"455",199999,29,7.28046e+17,"English",0,0.762499998
"456",200694,29,28759937,"English",0,0.864285711
"457",201259,32,251952336,"English",0,0.524999988
"458",201289,26,20528135,"English",11,0.762499995
"459",201824,22,2233074654,"English",0,0.894444443
"460",201919,31,263463088,"English",5,0.683333327
"461",202769,29,31192973,"English",1,0.535595302
"462",203335,25,449569645,"English",12,0.762499999
"463",203419,36,95374258,"English",0,0.392642551
"464",203539,33,25863533,"English",18,0.683333329
"465",203714,31,61330586,"English",0,0.913636362
"466",203745,20,278388952,"English",19,0.762499995
"467",204103,34,527801761,"English",0,0.841666663
"468",204803,29,5475922,"English",1,0.776867477
"469",205443,20,2282742966,"English",1,0.678706536
"470",205778,27,721681314,"English",2,0.566224918
"471",205953,36,54069320,"English",0,0.52472588
"472",206429,34,2690982026,"English",8,0.809999995
"473",206446,20,612245427,"English",0,0.904999998
"474",206463,34,275319198,"English",0,0.944117646
"475",207819,29,33776832,"English",0,0.864285712
"476",208067,33,292667902,"English",0,0.920833332
"477",208780,22,33075317,"English",0,0.904999998
"478",208873,32,201950504,"English",0,0.721900653
"479",210877,26,1421665184,"English",7,0.809999988
"480",211774,26,33483016,"English",0,0.894444443
"481",212596,23,60464068,"English",1,0.809999996
"482",212893,35,44042300,"English",2,0.350380226
"483",213147,31,26544956,"English",0,0.864285711
"484",215308,25,214573724,"English",0,0.894444442
"485",215423,26,764410369,"English",16,0.809999996
"486",215561,36,1426454772,"English",17,0.762499995
"487",215809,32,318632023,"English",0,0.881249999
"488",216026,21,16302527,"English",0,0.05
"489",216121,33,584139099,"English",8,0.683333324
"490",216752,20,51645471,"English",12,0.683333327
"491",217134,31,179001691,"English",0,0.841666662
"492",217203,36,452835674,"English",17,0.762499997
"493",217895,25,2281173637,"English",8,0.470220275
"494",218103,23,13747022,"English",1,0.56822363
"495",219559,25,336812166,"English",1,0.575434244
"496",219660,23,793951,"English",16,0.683333328
"497",219859,29,16524749,"English",3,0.430314902
"498",219933,26,17623350,"English",0,0.894444443
"499",220161,20,260542369,"English",0,0.809999993
"500",220866,23,18853587,"English",0,0.864285713
